id,envios,ventas
144b2a3e-9657-42b3-8349-70fc71e9e698,132,66
99bd62ce-20cd-4680-b75b-7b96078ab2f0,704,242
7e0a14e7-ee62-4976-ae24-693b42fe1349,396,132
39c379c3-b386-4443-a6c0-14594b283abd,176,22
2d7c9f3a-93ae-4ae0-8a9e-04ba5c96c0c3,418,88
72404dfe-2f38-49c6-b387-021d7cea6a3d,110,44
abb8b123-728b-4cb9-9eee-294c76ded671,374,22
469393f5-1011-4f3c-9b25-9477b621d140,638,154
3cb41a09-cc0f-40a6-8abf-ae3702e503d2,418,154
e1f965ee-57bc-4b10-a099-84e191314754,770,198
51f07ce0-7a91-4cc8-83c4-ee3537594a1e,594,132
cc5d48e8-0770-4b80-a5aa-4a795e0df6d7,352,110
a9f841e5-4b90-45db-a435-b422a1fd0d8b,418,132
bf00f03b-742a-4250-896e-7420e8212c4a,572,198
5580e6a5-80bb-4e4a-a0a8-cfb68c624ec7,770,264
9292bd4e-facf-4f63-81f3-ae25764b4509,528,198
9ac0a825-787b-44b6-9159-61f880685c21,176,66
3db4f3af-0955-49dc-8013-539885fda329,154,66
7f0967be-899a-4590-be33-78c9bf205148,2969,638
148cbcf0-730d-4792-9a41-0873d115fc14,3079,770
f839eca9-b6a4-4544-9cb4-cb3ad436c361,2397,638
e6ff20fd-eff1-49f8-aa84-4cc1aff3897b,2903,748
c559e1d1-190c-49d6-b655-d7c5ebb91352,5036,1056
6f84fd74-a4bd-4072-bc6c-3f534e69ca15,2881,902
911580f4-d186-4310-9960-94c6734d8230,3343,946
a253697f-2882-4464-b851-8e0f4cc8d5bb,3343,1232
028b8778-9dbc-431a-8201-7e479e2c9c09,4244,1188
33bea27d-913b-4223-ae67-eeb0f5c000b2,2947,1012
8596e84e-f8c9-4da1-b46c-2303c4b26e73,3804,1166
7bab95eb-7a99-4f89-9b11-a33ec06cd863,3519,1144
470a5da6-ff23-45eb-814c-e2c1705e8991,2639,946
b0fa3683-fd9c-480c-9262-508a99db0fac,2441,902
c0294e4d-4703-448e-bc6e-782a83ca2a74,3277,968
1b5733df-b157-4958-a4ab-db1833746ffc,2551,1078
a1e1494b-88d5-403c-91a1-d04776e8e1b4,2617,946
f2c449e4-9926-46b9-b7fb-2014d4f1c87b,4772,1737
3d3eb2f8-c71f-4e35-83ed-cab5a02fc0c9,4794,1693
ae80abea-5013-48ab-a068-8ca0ceea64b4,5036,1803
c2c269f0-c96c-4dea-89a8-b1501a4a6f83,924,330
e422a4ec-8c35-4674-9318-ce4862cc8323,968,330
86660b67-a5d2-43bb-9310-1ae8950e9893,902,308
acc41966-78af-48a1-b4d2-0f3ce21e3ce5,1210,374
8e2adf4f-b20e-4de4-b8b5-dc5b379f8109,1341,374
3b9e87e1-f48b-46e5-bb3b-2f190ddbb7fa,0,0
83927690-c61b-4830-a074-7ad713e5f2f3,0,0
ea3e84f1-d9fa-4413-95b1-b312f16c9de7,770,176
