,pct_compra
0,0.5
1,0.34
2,0.33
3,0.12
4,0.21
5,0.4
6,0.06
7,0.24
8,0.37
9,0.26
10,0.22
11,0.31
12,0.32
13,0.35
14,0.34
15,0.38
16,0.38
17,0.43
18,0.21
19,0.25
20,0.27
21,0.26
22,0.21
23,0.31
24,0.28
25,0.37
26,0.28
27,0.34
28,0.31
29,0.33
30,0.36
31,0.37
32,0.3
33,0.42
34,0.36
35,0.36
36,0.35
37,0.36
38,0.36
39,0.34
40,0.34
41,0.31
42,0.28
43,0.0
44,0.0
45,0.23
46,0.23
47,0.37
48,0.0
49,0.35
50,0.22
51,0.27
52,0.19
53,0.27
54,0.28
55,0.28
56,0.26
57,0.3
58,0.36
59,0.31
60,0.38
61,0.36
62,0.39
63,0.44
64,0.28
65,0.19
66,0.24
67,0.27
68,0.23
69,0.23
70,0.29
71,0.3
72,0.29
73,0.25
74,0.31
75,0.3
76,0.29
77,0.25
78,0.28
79,0.3
80,0.31
81,0.35
82,0.33
83,0.29
84,0.3
85,0.22
86,0.27
87,0.28
88,0.27
89,0.21
90,0.31
91,0.3
92,0.39
93,0.19
94,0.24
95,0.34
96,0.41
97,0.29
98,0.33
99,0.35
100,0.29
101,0.41
102,0.35
103,0.38
104,0.44
105,0.51
106,0.32
107,0.35
108,0.33
109,0.36
110,0.31
111,0.3
112,0.37
113,0.37
114,0.36
115,0.45
116,0.56
117,0.22
118,0.09
119,0.2
120,0.26
121,0.3
122,0.2
123,0.27
124,0.0
125,0.21
126,0.33
127,0.67
128,0.38
129,0.31
130,0.28
131,0.23
132,0.18
133,0.18
134,0.45
135,0.37
136,0.5
137,0.33
138,0.33
139,0.24
140,0.36
141,0.24
142,0.21
143,0.29
144,0.29
145,0.25
146,0.42
147,0.33
148,0.33
149,0.46
150,0.24
151,0.2
152,0.1
153,0.33
154,0.25
155,0.3
156,0.43
157,0.15
158,0.24
159,0.44
160,0.12
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.21
168,0.42
169,0.24
170,0.29
171,0.4
172,0.33
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.32
180,0.16
181,0.31
182,0.67
183,0.25
184,0.57
185,0.28
186,0.36
187,0.2
188,0.26
189,0.21
190,0.29
191,0.38
192,0.41
193,0.36
194,0.12
195,0.29
196,0.5
197,0.35
198,0.37
199,0.21
200,0.25
201,0.38
202,0.33
203,0.26
204,0.29
205,0.4
206,0.42
207,0.55
208,0.35
209,0.43
210,0.36
211,0.24
212,0.57
213,0.26
214,0.38
215,0.42
216,0.41
217,0.56
218,0.25
219,0.2
220,0.26
221,0.3
222,0.57
223,0.56
224,0.43
225,0.18
226,0.24
227,0.33
228,0.4
229,0.17
230,0.22
231,0.26
232,0.25
233,0.43
234,0.33
235,0.4
236,0.33
237,0.22
238,0.22
239,0.2
240,0.53
241,0.26
242,0.31
243,0.29
244,0.36
245,0.53
246,0.33
247,0.22
248,0.6
249,0.49
250,0.52
251,0.33
252,0.67
253,0.33
254,0.8
255,0.31
256,0.34
257,0.38
258,0.36
259,0.6
260,0.67
261,0.43
262,0.28
263,0.45
264,0.43
265,0.33
266,0.25
267,0.27
268,0.32
269,0.5
270,0.28
271,0.5
272,0.67
273,0.33
274,0.39
275,0.33
276,0.36
277,0.4
278,0.8
279,0.26
280,0.31
281,0.21
282,0.36
283,0.43
284,0.4
285,0.24
286,0.35
287,0.41
288,0.39
289,0.75
290,0.2
291,0.26
292,0.43
293,0.3
294,0.21
295,0.38
296,0.33
297,0.4
298,0.21
299,0.32
300,0.14
301,0.5
302,0.27
303,0.61
304,0.56
305,0.25
306,0.62
307,0.43
308,1.0
309,0.36
310,0.38
311,0.36
312,0.28
313,1.0
314,0.18
315,0.39
316,0.27
317,0.47
318,0.22
319,0.23
320,0.25
321,0.53
322,0.45
323,0.69
324,0.59
325,1.0
326,0.4
327,0.45
328,0.42
329,0.62
330,0.69
331,0.6
332,0.8
333,0.57
334,0.65
335,0.64
336,0.47
337,0.43
338,0.4
339,0.55
340,0.35
341,0.28
342,0.36
343,0.33
344,0.33
345,0.26
346,0.24
347,0.21
348,0.23
349,0.27
350,0.21
351,0.26
352,0.35
353,0.42
354,0.33
355,0.5
356,0.07
357,0.36
358,0.31
359,0.48
360,0.4
361,0.25
362,0.25
363,0.11
364,0.23
365,0.27
366,0.15
367,0.15
368,0.25
369,0.34
370,0.29
371,0.32
372,0.24
373,0.43
374,0.4
375,0.32
376,0.38
377,0.33
378,0.64
379,0.29
380,0.1
381,0.42
382,0.39
383,0.3
384,0.33
385,0.38
386,0.5
387,0.5
388,0.44
389,0.71
390,0.4
391,0.75
392,0.27
393,0.38
394,0.46
395,0.47
396,0.43
397,0.2
398,0.27
399,0.23
400,0.21
401,0.31
402,0.44
403,0.33
404,0.27
405,0.2
406,0.2
407,0.38
408,0.32
409,0.57
410,0.38
411,0.29
412,0.43
413,0.67
414,0.4
415,0.5
416,0.5
417,0.44
418,0.5
419,0.45
420,0.48
421,0.33
422,0.62
423,0.41
424,0.22
425,0.44
426,0.32
427,0.4
428,0.44
429,0.34
430,0.35
431,0.41
432,0.36
433,0.2
434,0.14
435,0.34
436,0.33
437,0.22
438,0.18
439,0.33
440,0.33
441,0.26
442,0.16
443,0.23
444,0.27
445,0.57
446,0.43
447,0.5
448,0.37
449,0.25
450,0.46
451,0.6
452,0.46
453,0.39
454,0.34
455,0.37
456,0.48
457,0.35
458,0.38
459,0.46
460,0.31
461,0.35
462,0.44
463,0.36
464,0.57
465,0.32
466,0.27
467,0.23
468,0.33
469,0.4
470,0.56
471,0.45
472,0.44
473,0.27
474,0.8
475,0.37
476,0.2
477,0.33
478,0.42
479,0.4
480,0.35
481,0.23
482,0.35
483,0.21
484,0.62
485,0.38
486,0.24
487,0.4
488,0.31
489,0.28
490,0.24
491,0.41
492,0.27
493,0.36
494,0.29
495,0.21
496,0.21
497,0.19
498,0.25
499,0.13
500,0.33
501,0.35
502,0.33
503,0.19
504,0.18
505,0.28
506,0.19
507,0.28
508,0.31
509,0.1
510,0.21
511,0.3
512,0.26
513,0.09
514,0.29
515,0.33
516,0.21
517,0.53
518,0.42
519,0.56
520,0.14
521,0.22
522,0.2
523,0.18
524,0.26
525,0.17
526,0.24
527,0.37
528,0.2
529,0.33
530,0.37
531,0.32
532,0.44
533,0.16
534,0.29
535,0.61
536,0.65
537,0.29
538,0.2
539,0.22
540,0.48
541,0.32
542,0.31
543,0.2
544,0.25
545,0.41
546,0.18
547,0.37
548,0.42
549,0.25
550,0.27
551,0.17
552,0.34
553,0.27
554,0.5
555,0.2
556,0.4
557,0.42
558,0.34
559,0.29
560,0.31
561,0.29
562,0.25
563,0.21
564,0.33
565,0.27
566,0.23
567,0.2
568,0.44
569,0.33
570,0.44
571,0.57
572,0.36
573,0.41
574,0.55
575,0.39
576,0.33
577,0.29
578,0.58
579,0.31
580,0.24
581,0.0
582,0.24
583,0.33
584,0.39
585,0.33
586,0.36
587,0.44
588,0.31
589,0.41
590,0.53
591,0.35
592,0.32
593,0.2
594,0.38
595,0.35
596,0.44
597,0.33
598,0.47
599,0.5
600,0.32
601,0.5
602,0.41
603,0.25
604,0.4
605,0.36
606,0.4
607,0.47
608,0.6
609,0.29
610,0.35
611,0.38
612,0.4
613,0.25
614,0.38
615,0.33
616,0.31
617,0.32
618,0.32
619,0.29
620,0.28
621,0.35
622,0.28
623,0.43
624,0.36
625,0.2
626,0.39
627,0.56
628,0.38
629,0.41
630,0.33
631,0.32
632,0.36
633,0.48
634,0.6
635,0.41
636,0.55
637,0.14
638,0.37
639,0.33
640,0.14
641,0.39
642,0.42
643,1.0
644,0.56
645,0.45
646,0.25
647,0.54
648,0.41
649,0.39
650,0.5
651,0.4
652,0.5
653,0.48
654,0.4
655,0.33
656,0.29
657,1.0
658,0.2
659,0.48
660,0.39
661,0.57
662,0.35
663,0.33
664,0.19
665,0.19
666,0.25
667,0.37
668,0.3
669,0.25
670,0.12
671,0.3
672,0.33
673,0.36
674,0.33
675,0.4
676,0.14
677,0.41
678,0.32
679,0.42
680,0.33
681,1.0
682,0.12
683,0.4
684,0.46
685,0.33
686,0.39
687,0.5
688,0.31
689,0.35
690,0.41
691,0.3
692,0.36
693,1.0
694,0.3
695,0.27
696,0.25
697,0.25
698,0.33
699,1.0
700,0.29
701,0.32
702,0.26
703,0.29
704,0.28
705,1.0
706,0.2
707,0.29
708,0.4
709,0.17
710,0.44
711,0.33
712,0.21
713,0.42
714,0.48
715,0.24
716,0.4
717,0.25
718,0.14
719,0.29
720,0.29
721,0.14
722,0.22
723,0.5
724,0.23
725,0.28
726,0.25
727,0.19
728,0.27
729,0.33
730,1.0
731,0.29
732,0.17
733,0.28
734,0.16
735,0.18
736,0.17
737,0.39
738,0.35
739,0.33
740,0.41
741,0.29
742,0.33
743,0.4
744,0.46
745,0.38
746,0.33
747,0.67
748,0.4
749,0.65
750,0.45
751,0.41
752,0.88
753,0.12
754,0.5
755,0.43
756,0.26
757,0.07
758,0.16
759,0.25
760,0.29
761,0.18
762,0.21
763,0.54
764,0.5
765,0.29
766,0.33
767,0.33
768,0.42
769,0.32
770,0.38
771,0.67
772,0.33
773,0.52
774,0.24
775,0.46
776,0.55
777,1.0
778,0.67
779,0.48
780,0.38
781,0.45
782,0.44
783,0.5
784,0.43
785,0.37
786,0.31
787,0.56
788,0.5
789,0.45
790,0.44
791,0.38
792,0.25
793,0.36
794,0.53
795,0.5
796,0.33
797,0.22
798,0.24
799,0.53
800,0.2
801,0.22
802,0.29
803,0.28
804,0.29
805,0.37
806,0.24
807,0.31
808,0.71
809,0.31
810,0.43
811,0.5
812,0.41
813,0.33
814,0.29
815,0.34
816,0.26
817,0.47
818,0.31
819,0.42
820,0.31
821,0.3
822,0.34
823,0.33
824,0.32
825,0.48
826,0.34
827,0.5
828,0.6
829,0.45
830,0.59
831,0.43
832,0.38
833,0.56
834,0.52
835,0.46
836,0.46
837,0.38
838,0.67
839,0.38
840,0.41
841,0.38
842,0.41
843,0.28
844,0.31
845,0.16
846,0.43
847,0.53
848,0.49
849,0.5
850,0.46
851,0.4
852,0.34
853,0.33
854,0.25
855,0.38
856,0.36
857,0.42
858,0.4
859,0.27
860,0.42
861,0.29
862,0.34
863,0.3
864,0.31
865,0.3
866,0.14
867,0.24
868,0.26
869,0.67
870,0.23
871,0.48
872,0.37
873,0.48
874,0.41
875,0.58
876,0.52
877,0.37
878,0.33
879,0.64
880,0.45
881,0.29
882,0.37
883,0.35
884,0.31
885,0.29
886,0.26
887,0.45
888,0.34
889,1.0
890,0.29
891,0.0
892,0.29
893,0.25
894,0.21
895,0.58
896,0.27
897,0.33
898,0.3
899,0.22
900,0.16
901,0.69
902,0.43
903,0.4
904,0.37
905,0.31
906,0.47
907,0.49
908,0.3
909,0.26
910,0.45
911,0.22
912,0.5
913,0.32
914,0.38
915,0.38
916,0.5
917,0.43
918,0.48
919,0.36
920,0.2
921,0.33
922,0.24
923,0.44
924,0.36
925,0.42
926,0.38
927,0.8
928,0.39
929,0.46
930,0.48
931,0.35
932,0.56
933,0.27
934,0.51
935,0.45
936,0.71
937,0.41
938,0.46
939,0.21
940,0.55
941,0.44
942,0.57
943,0.39
944,0.6
945,0.42
946,0.43
947,0.37
948,0.67
949,0.35
950,0.29
951,0.21
952,0.62
953,0.5
954,0.71
955,0.6
956,0.38
957,0.57
958,0.38
959,0.19
960,0.38
961,0.24
962,0.29
963,0.33
964,0.47
965,0.36
966,0.3
967,0.38
968,0.21
969,0.27
970,0.28
971,0.25
972,0.22
973,0.26
974,0.21
975,0.28
