"dress_leisure","dress_work","fit_top","fit_bottom","highlight","cover","body_shape","eyes","hair","size_top","size_bottom","size_footwear","size_bra","size_cup","height","weight","focus","adventurous","styles","prices","avoid","footwear","footwear_priority","footwear_families","job","birthdate","is_mother"
1,1,,,,,,1,3,3,3,2,4,"E",164,67,"3,4,2",3,"5,1",1,"1,5,8","2,1","1,4",,8,1990-10-11,"true"
2,2,1,1,,,5,4,3,3,4,5,3,"C","167.64","67.65",3,1,,1,"6,7,8",1,"1,6,4",,13,1990-10-10,"false"
1,3,,,,,1,5,2,7,6,7,5,"C",177,93,"3,1",,,,,,,,,,
2,1,3,1,"1,5","2,4",2,3,3,5,6,4,6,"B",170,90,"3,4",,,,,,,,4,1971-11-21,"true"
,,2,1,,,,,,4,3,4,5,"D",,,,,,,,,,,7,1970-02-24,"true"
3,3,3,3,"1,4","2,3,5",2,3,6,8,8,4,6,"C",160,120,"4,3",2,"2,4",2,8,,,,3,1981-10-08,"false"
1,4,1,2,1,2,2,3,3,6,6,4,4,"D",,,"3,2",2,,,"1,5,8",3,"10,6","1,2,5",2,1975-06-18,"true"
2,3,3,1,"1,3","2,4",4,3,6,5,4,3,4,"B",165,78,"5,4,3",3,"2,6",1,,3,1,1,4,1988-04-03,"true"
4,1,3,1,,2,6,5,2,4,4,3,4,"B",172,65,"4,3,1",3,"2,3",1,"3,7,8,9",,,,,,
2,1,1,2,"3,4",,5,4,4,5,6,4,5,"D",168,97,"2,5,4",2,"5,6",2,8,"3,2","1,3,4",5,14,1990-08-03,"false"
1,1,2,2,,,5,1,5,5,5,6,4,,178,75,"5,3",2,"1,2",1,"7,8","2,1","1,10",5,4,1980-10-01,"true"
1,1,3,1,,2,5,3,6,4,3,4,3,"D",160,58,"4,5,2",2,"1,5",1,8,,,,,,
2,1,2,1,,,4,2,5,1,1,1,2,"B",155,47,4,3,"5,1",1,"1,7,9,5",,,,,,
1,3,2,3,4,"3,5",1,1,4,4,6,3,4,"C",163,80,"2,3,4",2,"5,6",1,"7,9,8,3,6",,,,3,1992-02-16,"false"
2,4,2,1,,,1,3,3,2,3,2,4,"B",,,3,3,"5,4",1,7,2,"4,6,1,10",3,,,
3,4,3,1,"1,2,5",,1,3,5,2,3,3,4,"C",,,"4,3",3,"3,5",2,,"1,2,3","4,6,1",5,11,1973-10-30,"true"
3,4,2,3,1,2,2,1,3,6,8,5,6,"D",166,90,"4,2",2,"3,1",1,"7,8,9",,,,4,1966-12-31,"true"
4,3,1,3,1,3,5,3,3,2,4,0,4,"C",,,"4,5",,,,,,,,11,1985-01-26,"false"
2,,,,,,2,5,3,4,3,3,5,"D",159,63,"5,2",,,,,,,,,,
1,1,1,1,"1,3",,3,4,4,3,3,3,3,"B",166,59,"5,4",2,"5,6",1,"8,9",,,,14,1991-04-23,"false"
4,2,1,1,"1,3,4",,4,1,3,4,4,5,4,"C",162,62,"5,4,3",3,"5,6",1,"8,3,7",2,10,5,4,1992-03-26,"true"
4,1,1,3,"1,3,4","2,5",5,3,6,4,4,4,5,"C",168,70,"1,3,5",3,"6,2",1,"3,9",,,,2,1975-01-27,"false"
2,1,2,2,"1,3",4,3,1,5,4,4,3,5,"D",165,65,"4,2",5,"3,5",2,"7,8","2,1","6,1,4",5,2,1994-05-17,"true"
1,3,2,1,,"1,2,4",6,3,5,3,2,1,4,"C",168,53,,2,,,,,,,5,1974-07-15,"false"
4,1,1,3,"1,3,4",2,5,3,5,7,7,3,6,"B",157,90,"5,4",,"5,6",1,8,"3,2","4,1",3,,,
4,2,1,1,,,4,1,,2,1,2,2,"B",,,"3,4",2,"2,5",1,,3,"4,1,10,6",1,,,
2,3,2,1,"2,3,5",,1,3,3,2,3,2,3,"B",168,58,"4,3",4,"5,4",1,"8,7","1,3","1,4",,4,1981-04-13,"true"
4,1,2,1,5,2,2,1,3,4,4,2,4,"F",160,67,"1,5",5,"2,6",1,"7,8",2,"1,6",5,14,1991-05-03,"false"
2,1,2,2,,2,5,4,3,4,4,4,5,,168,72,"3,4",3,"6,1",1,7,2,"6,1",6,3,1986-06-28,"true"
1,3,3,2,"5,4,3,2",,5,3,5,1,1,2,2,"B",165,47,"1,4,5",3,5,1,1,3,10,6,10,2008-05-08,"false"
1,1,1,1,,"2,3,5",2,3,6,5,5,6,4,"B",170,75,3,4,3,1,,1,1,5,6,1986-11-25,"false"
2,1,3,3,,,5,1,3,4,2,4,2,"B",170,50,"1,5",3,"5,6",1,"1,5,8",1,"1,6","5,6",,2001-02-20,"false"
2,1,1,1,"3,4",,5,3,6,2,1,3,3,"C",160,53,"3,4",5,"5,6",2,8,3,1,5,14,1999-10-26,"false"
